,simulation_ts,lat_val,lng_val,soc_val,prob_val,state_val,tocharge_val
107874,2019-07-01 07:00:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
109958,2019-07-01 07:01:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
112036,2019-07-01 07:02:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
114096,2019-07-01 07:03:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
115987,2019-07-01 07:04:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
116778,2019-07-01 07:05:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
118829,2019-07-01 07:06:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
120522,2019-07-01 07:07:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
122234,2019-07-01 07:08:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
124298,2019-07-01 07:09:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
126378,2019-07-01 07:10:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
129032,2019-07-01 07:11:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
130359,2019-07-01 07:12:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
131141,2019-07-01 07:13:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
133164,2019-07-01 07:14:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
134887,2019-07-01 07:15:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
136581,2019-07-01 07:16:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
138643,2019-07-01 07:17:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
140743,2019-07-01 07:18:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
143343,2019-07-01 07:19:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
144692,2019-07-01 07:20:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
145484,2019-07-01 07:21:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
147531,2019-07-01 07:22:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
149217,2019-07-01 07:23:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
150925,2019-07-01 07:24:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
152986,2019-07-01 07:25:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
155095,2019-07-01 07:26:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
157125,2019-07-01 07:27:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
159033,2019-07-01 07:28:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
159810,2019-07-01 07:29:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
161892,2019-07-01 07:30:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
163579,2019-07-01 07:31:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
165293,2019-07-01 07:32:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
167354,2019-07-01 07:33:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
169444,2019-07-01 07:34:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
172053,2019-07-01 07:35:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
173395,2019-07-01 07:36:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
174184,2019-07-01 07:37:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
176241,2019-07-01 07:38:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
177957,2019-07-01 07:39:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
179627,2019-07-01 07:40:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
181686,2019-07-01 07:41:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
183762,2019-07-01 07:42:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
186381,2019-07-01 07:43:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
187720,2019-07-01 07:44:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
188504,2019-07-01 07:45:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
