latitude, longitude, dcfc_plug_count, dcfc_power, level2_plug_count, level2_power, dcfc_fixed_charging_price, dcfc_var_charging_price_unit, dcfc_var_charging_price, dcfc_fixed_parking_price, dcfc_var_parking_price_unit, dcfc_var_parking_price, level2_fixed_charging_price, level2_var_charging_price_unit, level2_var_charging_price, level2_fixed_parking_price, level2_var_parking_price_unit, level2_var_parking_price, connector_code, station_type, comments
48.031,-122.17,10,50,1,10,0.5,min,0.5,0.5,min,0.5,0.5,min,0.5,0.5,min,0.5,3,new,124683
47.948,-122.1,10,50,1,10,0.5,min,0.5,0.5,min,0.5,0.5,min,0.5,0.5,min,0.5,3,new,145684
47.268,-121.24,10,50,1,10,0.5,min,0.5,0.5,min,0.5,0.5,min,0.5,0.5,min,0.5,3,new,73433
47.084,-120.74,10,50,1,10,0.5,min,0.5,0.5,min,0.5,0.5,min,0.5,0.5,min,0.5,3,new,167497
46.942,-119.96,10,50,1,10,0.5,min,0.5,0.5,min,0.5,0.5,min,0.5,0.5,min,0.5,3,new,170358
